,exchange,code
435,Oporto Derivatives Exchange,BDP
436,Options Market France,OMF
437,Options Price Reporting Authority BBO,OPQ
438,Osaka Grain Exchange,OGE
439,Osaka Mercantile Exchange,OME
440,Osaka Securities Exchange,OSA
441,Osaka Textile Exchange,OTE
442,Oslo Stock Exchange,OSL
443,OTC Bulletin Board Market,OBB
444,Over The Counter Exchange of India,OTI
445,Over The Counter Mkt,OTC
446,Pacific Options Exchange,PAO
447,Pacific Stock Exchange,PSE
448,Pacific Stock Exchange for Nasdaq Large Cap,LCP
449,Pacific Stock Exchange for Nasdaq Small Cap,SCP
450,Palermo Stock Exchange,PAL
451,Palestine Securities Exchange,PLS
452,Panama Stock Exchange,PAN
453,Paris Commodity Exchange,PCE
454,Paris Financial Futures,PFF
455,Paris Stock Exchange,PAR
456,PFTS Securites Trading System (Ukraine),UTS
457,PFTS Securities Trading System (Ukraine),PFT
458,Philadelphia Board of Trade,PBT
459,Philadelphia Options Exchange,PHO
460,Philadelphia Stock Exchange,XPH
461,Philadelphia Stock Exchange for Nasdaq Large Cap,LCX
462,Philadelphia Stock Exchange for Nasdaq Small Cap,SCX
463,"Philippine Stock Exchange, Inc",PHS
464,Philippines Money Rate,PH$
465,Philippines Non Exchange FI Update,#PH
466,"Poland, Non-Exchange FI Update",#PL
467,Polish Power Exchange,POX
468,"Portugal, Non-Exchange FI Update",#PT
469,Prague Stock Exchange,PRA
470,Pru-Bache LME Contributor Rates,PRU
471,PULPEX,PUX
472,Quito Stock Exchange,QTO
473,RA Energy Exchange,EA$
474,RAM Energy Exchange,EM$
475,RASDAQ,RSQ
476,REDIBook,RED
477,REMA Energy Exchange,EE$
478,Reuters,REU
479,RIM Intelligence Co Ltd,RII
480,Rio de Janeiro Stock Exchange,RIO
481,Romanian Equities Traded but not Listed,TNL
482,Romanian Non-Exchange FI Update,#RO
483,Rome Stock Exchange,ROM
484,Rosario Stock Exchange,ROS
485,Rubber Association of Singapore,RAS
486,"Russia, Non-Exchange FI Update",#RU
487,Russian OTC Exchange,RUO
488,Russian Stock Exchange,RUS
489,Russian Trading System - RTS,RTS
490,Santiago Stock Exchange,SGO
491,Sao Paulo Commodity and Futures Exchange,BMF
492,Sao Paulo Stock Exchange,SAO
493,Sapporo Securities Exchange,SAP
494,Saudi Arabian Monetary Authority,SAU
495,Saudi Arabian Non-Exchange FI update,#SA
496,Shanghai Cereals & Oils Exchange,SCE
497,Shanghai Futures Exchange,SHF
498,Shanghai Gold Exchange,SGE
499,Shanghai Metal Exchange,SME
500,Shanghai Stock Exchange,SHH
501,Shenyang Commodity Exchange,SYC
502,Shenzhen Mercantile Exchange,SZM
503,Shenzhen Stock Exchange,SHZ
504,SIBE - Mercado continuo Espanol,MCE
505,Siberian Interbank Currency Exchange,SIK
506,Sibiu Monetary-Financial and Commodities Exchange,SFC
507,SINAC,SNC
508,Singapore Commodity Exchange Ltd,SIC
509,Singapore Energy Exchange,ES$
510,Singapore Exchange Securities Trading,SES
511,Singapore FEOP,RS$
512,Singapore International Monetary Exchange Ltd,SIM
513,Singapore Spot Product Prices,SS$
514,Singapore Unit Trusts and Funds,SG$
515,"Singapore, Non-Exchange FI Update",#SI
516,SOMA Stock Exchange,SMA
517,Source is a Reuter Contributor,RCT
518,"South Africa, Non-Exchange FI Update",#ZA
519,South African Futures Exchange,SFX
520,South African Quotations (SAQUOT),RSA
521,South Korea Non-Exchange FI Update,#KS
522,South Urals Stock Exchange,SUE
523,"Spain, Non-Exchange FI Update",#ES
524,Spanish Financial Futures Market MEFF Renta Fija,MRF
525,Spanish Investment Funds,FDI
526,Spanish Options Exchange,MFX
527,SPECTRON,SPN
528,Sri Lanka Money Rates,LK$
529,St Gallen Stock Exchange,SGA
530,St Petersburg Currency Exchange,SPC
531,St Petersburg Stock Exchange,SPS
532,Stock Exchange of Mauritius Ltd,MAU
533,Stockholmsborsen - cash,STO
534,Stockholmsborsen - derivatives,SOM
535,STOXX,STX
536,Stuttgart Stock Exchange,STU
537,Surabaya Stock Exchange,SUB
538,Suzhou Commodity Exchange,SUC
539,Svenska Penningmarknad,PMI
540,"Sweden, Non-Exchange FI Update",#SE
541,Swedish Mutual Fund Association,FBF
542,Swiss Exchange,SWX
543,Swiss Options and Financial Futures Exchange (SOFFEX),SFF
544,"Switzerland, Non-Exchange FI Update",#CH
545,Sydney Futures Exchange,SFE
546,Taiwan Futures Exchange,TIM
547,Taiwan Money Rates,TW$
548,Taiwan Stock Exchange,TAI
549,"Taiwan, Non-Exchange FI Update",#TW
550,Tallinn Stock Exchange (Estonia),TLX
551,TDB Energy - Thursday Singapore UPD,SE$
552,Tel-Aviv Stock Exchange,TLV
553,Thai Bond Dealing Centre,BDC
554,Thailand Money Rates,TH$
555,The Agricultural Futures Exchange of Thailand,AFT
556,The Bahrain Stock Exchange,BAH
557,The Baltic Exchange,BFE
558,The Barcelona Stock Exchange,BAR
559,The Bermuda Stock Exchange,BSX
560,The Bucharest Stock Exchange,BUH
561,The Calcutta Stock Exchange,CAL
562,"The Channel Islands Stock Exchange, LBG",CIE
563,The Cyprus Stock Exchange,CYS
564,The Delhi Stock Exchange Association Ltd,DES
565,The Irish Stock Exchange,ISE
566,"The Island ECN, Inc",ISL
567,The Island Trading,ILT
568,The Johannesburg Stock Exchange,JNB
569,The Karachi Stock Exchange (Guarantee) Ltd,KAR
570,The Kuala Lumpur Options and Financial Futures Exchange (KLOFFE),KLF
571,The London International Financial Futures and Options Exchange,LIF
572,The London Metal Exchange,LME
573,The Namibian Stock Exchange,NSE
574,The Nasdaq Stock Market,NAS
575,The Oporto Derivatives Exchange,OPO
576,The Riga Stock Exchange,RIX
577,The Spanish Options Exchange,MRV
578,The Stock Exchange of Hong Kong Ltd,HKG
579,The Stock Exchange of Thailand,SET
580,The Toronto Stock Exchange,TOR
581,The Winnipeg Commodity Exchange,WPG
582,The Winnipeg Stock Exchange,WPE
583,The Zagreb Stock Exchange,ZAG
584,Third Market Corp,THM
585,Third-Party Economic Database,ECO
586,Tianjin United Future Exchange,TUF
587,Tirana Stock Exchange,TIR
588,TLX Trading Lab,TXX
589,Tokyo Commodity Exchange (TOCOM),TCE
590,Tokyo Energy Exchange,ET$
591,Tokyo Grain Exchange,TGE
592,Tokyo International Financial Futures Exchange,TFF
593,Tokyo Stock Exchange,TYO
594,Tokyo Sugar Exchange,TSU
595,Toronto Forex,TO@
596,Toronto Futures Exchange,TFE
597,Toronto Options Exchange,TOE
598,Trieste Stock Exchange,TRI
599,TSX Venture Exchange,CVE
600,TSX Venture Exchange (Inactive Board),NEX
601,Tunis Stock Exchange,TUN
602,Turin Stock Exchange,TRN
603,U.S. Gulf Spot Product,UG$
604,U.S. LPG,UL$
605,U.S. Mid-Continent Group3 Spot Pr.,RT$
606,U.S. Mid-Continent Sp. Pr. (Chicago),RC$
607,U.S. Natural Gas Prices,RN$
608,U.S. West Coast Spot Product,UW$
609,Uganda Securities Exchange,UGS
610,UK Power Exchange,PWX
611,Ukraine Commodity Exchange,UKR
612,Ukrainian Interbank Currency Exchange,UCE
613,"United Kingdom, Non-Exchange FI Update",#UK
614,"United States, Non-Exchange FI Update",#US
615,Uruguayan Electronic Exchange,UEX
616,US Composite - AMSE,UCA
617,US Composite - NYSE,UCQ
618,US Intermarket Level 2,IMQ
619,USA Pink Sheets,PNK
620,Valencia Stock Exchange,VAL
621,Vancouver Options Exchange,VAO
622,Vancouver Stock Exchange,VAN
623,Venezuelan Electronic Stock Exchange,BEV
624,Venice Stock Exchange,VCE
625,Vienna Stock Exchange - Cash Market,VIE
626,Vietnam Money Rates,VN$
627,Virt-X PLC,VTX
628,Warsaw Stock Exchange,WSE
629,Washington Stock Exchange,WAS
630,Wellington Regional Stock Exchange,WLG
631,WM Co,WMC
632,World Crude Netbacks,NE$
633,World Crude Spot,CR$
634,World Energy Exchange,EW$
635,World Indices,IND
636,World Monitor Exchange,GL$
637,Wuhan Securities Exchange Centre,WHS
638,Xetra,GER
639,Yokohama Commodity Exchange,YCE
640,Yokohama Silk Exchange,YSE
641,Zimbabwe Stock Exchange,ZSE
642,Zurich Stock Exchange,ZRH
